,x,,x,,,,x,,
1,H1_TAF1_ENCFF886BPR,,H1,TAF1,ENCFF886BPR,,H1,TAF1,Low
2,K562_CXXC5_ENCFF798LLI,,K562,CXXC5,ENCFF798LLI,,K562,CXXC5,High
3,K562_E4F1_ENCFF683WRK,,K562,E4F1,ENCFF683WRK,,K562,E4F1,Low
4,K562_EP400_ENCFF167CQF,,K562,EP400,ENCFF167CQF,,K562,EP400,High
5,K562_GMEB1_ENCFF365ETH,,K562,GMEB1,ENCFF365ETH,,K562,GMEB1,Low
6,K562_HDAC1_ENCFF245OJC,,K562,HDAC1,ENCFF245OJC,,K562,HDAC1,High
7,K562_HDAC1_ENCFF432KJA,,K562,HDAC1,ENCFF432KJA,,K562,HDAC1,Low
8,K562_L3MBTL2_ENCFF063NIH,,K562,L3MBTL2,ENCFF063NIH,,K562,L3MBTL2,High
9,K562_NR2C2_ENCFF263VIC,,K562,NR2C2,ENCFF263VIC,,K562,NR2C2,Low
10,K562_RBFOX2_ENCFF538ACI,,K562,RBFOX2,ENCFF538ACI,,K562,RBFOX2,High
11,K562_RNF2_ENCFF271MJE,,K562,RNF2,ENCFF271MJE,,K562,RNF2,Low
12,HepG2_KDM2A_ENCFF902PJA,,HepG2,KDM2A,ENCFF902PJA,,HepG2,KDM2A,High
13,HepG2_ZGPAT_ENCFF339GYF,,HepG2,ZGPAT,ENCFF339GYF,,HepG2,ZGPAT,Low
14,HepG2_ZNF574_ENCFF550VES,,HepG2,ZNF574,ENCFF550VES,,HepG2,ZNF574,High
15,A549_JUN_ENCFF329CUQ,,A549,JUN,ENCFF329CUQ,,A549,JUN,Low
16,A549_SIN3A_ENCFF639RSC,,A549,SIN3A,ENCFF639RSC,,A549,SIN3A,High
17,HEK293_ZNF335_ENCFF103VED,,HEK293,ZNF335,ENCFF103VED,,HEK293,ZNF335,Low
18,GM12878_BHLHE40_ENCFF445XYV,,GM12878,BHLHE40,ENCFF445XYV,,GM12878,BHLHE40,High
19,H1_MAX_ENCFF460LNS,,H1,MAX,ENCFF460LNS,,H1,MAX,Low
20,HeLa-S3_MAX_ENCFF666XCS,,HeLa-S3,MAX,ENCFF666XCS,,HeLa-S3,MAX,High
21,K562_MAX_ENCFF171FVU,,K562,MAX,ENCFF171FVU,,K562,MAX,Low
22,K562_MAX_ENCFF822FKQ,,K562,MAX,ENCFF822FKQ,,K562,MAX,High
23,K562_TFAP4_ENCFF438IYI,,K562,TFAP4,ENCFF438IYI,,K562,TFAP4,
24,MCF-7_MAX_ENCFF624CRN,,MCF-7,MAX,ENCFF624CRN,,MCF-7,MAX,
25,K562_ATF1_ENCFF627RSK,,K562,ATF1,ENCFF627RSK,,K562,ATF1,
26,K562_ATF7_ENCFF951BFN,,K562,ATF7,ENCFF951BFN,,K562,ATF7,
27,H1_ASH2L_ENCFF693FGQ,,H1,ASH2L,ENCFF693FGQ,,H1,ASH2L,
28,K562_CTBP1_ENCFF782PIZ,,K562,CTBP1,ENCFF782PIZ,,K562,CTBP1,
29,K562_JUND_ENCFF306SZL,,K562,JUND,ENCFF306SZL,,K562,JUND,
30,K562_MAZ_ENCFF704UVS,,K562,MAZ,ENCFF704UVS,,K562,MAZ,
31,K562_MAZ_ENCFF837NNR,,K562,MAZ,ENCFF837NNR,,K562,MAZ,
32,K562_VEZF1_ENCFF433ERT,,K562,VEZF1,ENCFF433ERT,,K562,VEZF1,
33,HepG2_ARID4A_ENCFF258MNE,,HepG2,ARID4A,ENCFF258MNE,,HepG2,ARID4A,
34,HepG2_ARID4B_ENCFF492BXK,,HepG2,ARID4B,ENCFF492BXK,,HepG2,ARID4B,
35,HepG2_EGR1_ENCFF603PUS,,HepG2,EGR1,ENCFF603PUS,,HepG2,EGR1,
36,HepG2_GABPB1_ENCFF217XUD,,HepG2,GABPB1,ENCFF217XUD,,HepG2,GABPB1,
37,HepG2_HDAC1_ENCFF705AOW,,HepG2,HDAC1,ENCFF705AOW,,HepG2,HDAC1,
38,HepG2_LIN54_ENCFF582HAZ,,HepG2,LIN54,ENCFF582HAZ,,HepG2,LIN54,
39,HepG2_THAP11_ENCFF889SYG,,HepG2,THAP11,ENCFF889SYG,,HepG2,THAP11,
40,HepG2_ZFY_ENCFF291LHW,,HepG2,ZFY,ENCFF291LHW,,HepG2,ZFY,
41,A549_MAX_ENCFF713RHL,,A549,MAX,ENCFF713RHL,,A549,MAX,
42,MCF-7_SIN3A_ENCFF803WYI,,MCF-7,SIN3A,ENCFF803WYI,,MCF-7,SIN3A,
43,MCF-7_ZNF217_ENCFF197CVM,,MCF-7,ZNF217,ENCFF197CVM,,MCF-7,ZNF217,