TF1,TF2
ADNP,BCOR
ADNP,GTF2I
ADNP,HDAC2
ADNP,KDM1A
ADNP,RBM25
ADNP,RCOR1
ADNP,SMARCA5
ADNP,ZMYM3
AGO1,FIP1L1
AGO1,POLR2G
AGO1,RBFOX2
AGO1,RBM22
AGO1,SUPT5H
ARID1B,ATF3
ARID1B,CBFA2T3
ARID1B,DPF2
ARID1B,JUND
ARID1B,SMARCA4
ARID1B,SMARCE1
ARID1B,TCF12
ARID1B,TCF3
ARID1B,TRIM24
ARID4B,FOXA3
ARID4B,FOXP1
ARID4B,TEAD1
ARID4B,TEAD4
ARID4B,USF1
ARID4B,ZNF143
ARID4B,MTF1
ARID4B,NFIX
ARID4B,TCF15
ARID4B,ZNF277
ARID4B,ZNF707
ATF1,E2F1
ATF2,ATF3
ATF2,ATF7
ATF3,ATF4
ATF3,ATF7
ATF3,CEBPB
ATF3,CEBPG
ATF3,DPF2
ATF3,JUND
ATF3,TRIM24
ATF4,ATF7
ATF4,CEBPB
ATF4,CEBPG
ATF4,ZBTB17
ATF4,ZNF584
ATF7,JUND
BCOR,GTF2I
BCOR,HDAC2
BCOR,KDM1A
BCOR,RBM25
BCOR,RCOR1
BCOR,SMARCA5
BCOR,ZFP36
BCOR,ZMYM3
BRCA1,STAG1
BRCA1,ZC3H4
BRD9,NFXL1
C11orf30,MAFF
C11orf30,MAFG
C11orf30,MAFK
C11orf30,NFE2
C11orf30,ZNF316
CBFA2T2,CBFA2T3
CBFA2T2,RAD51
CBFA2T2,TCF12
CBFA2T2,TCF3
CBFA2T2,USF2
CBFA2T3,TCF12
CBFA2T3,TCF3
CBX1,CBX3
CBX1,CBX5
CBX1,CHD4
CBX1,HDAC2
CBX1,RCOR1
CBX1,SETDB1
CBX1,TRIM24
CBX1,TRIM28
CBX1,ZNF143
CBX1,ZNF280A
CBX3,CBX5
CBX3,SETDB1
CBX3,TRIM24
CBX3,TRIM28
CBX3,ZNF143
CBX3,ZNF280A
CBX5,SETDB1
CBX5,TRIM24
CBX5,TRIM28
CBX5,ZEB2
CBX5,ZNF143
CBX5,ZNF280A
CC2D1A,CHAMP1
CDC5L,ZNF639
CEBPB,CEBPG
CEBPG,IRF9
CEBPG,TRIM24
CHAMP1,ZBTB33
CHD4,RCOR1
CREB3,DDX20
CREB3,ID3
CREB3,IRF1
CREB3,MEF2D
CREB3,NR4A1
CREB3,PTRF
CREB3,PTTG1
CREB3,RELA
CREB3,ZNF311
CREB3,ZNF583
CREB3,ZNF639
CREB3,ZNF740
CTBP1,HDAC1
CTBP1,ZEB2
CTCF,CTCFL
CTCF,RAD21
CTCF,REST
CTCF,SMC3
CXXC5,DMBX1
CXXC5,NR2C1
CXXC5,NR4A1
CXXC5,ZNF175
CXXC5,ZNF215
CXXC5,ZNF281
CXXC5,ZNF589
CXXC5,ZNF592
DDX20,GTF2A2
DDX20,MEF2D
DDX20,PTRF
DDX20,PTTG1
DDX20,ZNF311
DDX20,ZNF740
DMBX1,NR2C1
DMBX1,NR4A1
DMBX1,PTTG1
DMBX1,ZNF175
DMBX1,ZNF215
DMBX1,ZNF281
DMBX1,ZNF311
DMBX1,ZNF395
DMBX1,ZNF584
DMBX1,ZNF589
DMBX1,ZNF592
DMBX1,ZNF740
DPF2,IKZF1
DPF2,JUND
DPF2,SMARCA4
DPF2,SMARCE1
DPF2,ZNF592
DPF2,ZKSCAN1
E2F1,HMGXB4
E2F1,MLX
E2F1,STAT6
E2F6,L3MBTL2
E2F6,MAX
E2F6,MGA
E2F8,POLR2B
E2F8,SUPT5H
EHMT2,HDAC1
EHMT2,HLTF
EHMT2,MTA2
ELF1,ELF4
ELF4,HBP1
ELF4,MTA2
ELF4,OTX1
ELF4,THRB
ELF4,ZBTB26
FIP1L1,HNRNPL
FIP1L1,PCBP1
FIP1L1,PRPF4
FIP1L1,RBM22
FOXA3,FOXP1
FOXA3,TEAD1
FOXA3,TEAD4
FOXA3,ZNF143
FOXP1,TEAD1
FOXP1,ZNF143
GABPB1,TFDP1
GMEB1,MTA2
GMEB1,ZBTB2
GTF2A2,MECOM
GTF2A2,PTRF
GTF2A2,PTTG1
GTF2A2,ZNF215
GTF2A2,ZNF311
GTF2A2,ZNF583
GTF2A2,ZNF740
GTF2I,HDAC2
GTF2I,KDM1A
GTF2I,RBM25
GTF2I,RCOR1
GTF2I,SMARCA5
GTF2I,ZFP36
GTF2I,ZMYM3
HBP1,OTX1
HBP1,THRB
HBP1,ZBTB26
HDAC1,SMARCE1
HDAC1,SOX6
HDAC1,HDAC2
HDAC2,KDM1A
HDAC2,RCOR1
HDAC2,SMARCA5
HDAC2,RBM25
HDAC2,ZMYM3
HDAC8,ZNF583
HDGF,HLTF
HDGF,LARP7
HINFP,PTRF
HLTF,LARP7
HLTF,MTA2
HLTF,ZNF184
HMGXB4,MLX
HMGXB4,SMAD3
HMGXB4,STAT6
HNRNPK,PCBP1
HNRNPL,PRPF4
ID3,IRF1
ID3,MEF2D
ID3,NR2C1
ID3,NR4A1
ID3,PTRF
ID3,PTTG1
ID3,RELA
ID3,ZNF215
ID3,ZNF311
ID3,ZNF583
ID3,ZNF740
IRF1,PTRF
IRF1,PTTG1
IRF1,ZNF311
IRF1,ZNF740
JUNB,JUND
JUND,SMARCA4
KDM1A,RBM25
KDM1A,RCOR1
KDM1A,SMARCA5
KDM1A,ZFP36
KDM1A,ZMYM3
L3MBTL2,MAX
L3MBTL2,MGA
L3MBTL2,ZNF592
LARP7,MTA2
LARP7,NKRF
LARP7,ZNF184
MAFF,MAFG
MAFF,MAFK
MAFF,NFE2
MAFF,ZNF316
MAFG,MAFK
MAFG,NFE2
MAFG,ZNF316
MAFK,NFE2
MAFK,ZNF316
MAX,MGA
MAX,USF1
MAZ,SMC3
MECOM,MEF2D
MECOM,PTRF
MECOM,PTTG1
MECOM,ZNF311
MECOM,ZNF740
MEF2D,NR2C1
MEF2D,NR4A1
MEF2D,PTRF
MEF2D,PTTG1
MEF2D,ZNF215
MEF2D,ZNF311
MEF2D,ZNF639
MEF2D,ZNF740
MEIS2,PKNOX1
MGA,ZNF592
MITF,RAD51
MITF,TFE3
MITF,TOE1
MITF,USF1
MITF,USF2
MLLT1,THRAP3
MLX,SMAD3
MLX,STAT6
MLX,ZKSCAN8
MTA2,ZBTB2
MTF1,NFIX
MTF1,TCF15
MTF1,ZNF277
MTF1,ZNF354C
MTF1,ZNF707
MYNN,POLR2B
MYNN,SUPT5H
NFATC3,NFYA
NFATC3,NFYB
NFE2,NFE2L1
NFE2,ZNF316
NFIC,NFIX
NFIX,ZNF277
NFIX,ZNF354C
NFIX,ZNF707
NFYA,NFYB
NR2C1,NR2C2
NR2C1,NR2F1
NR2C1,NR2F6
NR2C1,NR4A1
NR2C1,PTTG1
NR2C1,ZNF175
NR2C1,ZNF215
NR2C1,ZNF281
NR2C1,ZNF395
NR2C1,ZNF589
NR2C1,ZNF592
NR2C1,NR2F2
NR2C2,NR2F1
NR2C2,NR2F6
NR2F1,NR2F2
NR2F1,NR2F6
NR2F2,NR2F6
NR4A1,PTRF
NR4A1,PTTG1
NR4A1,ZNF215
NR4A1,ZNF281
NR4A1,ZNF311
NR4A1,ZNF592
NR4A1,ZNF639
NR4A1,ZNF740
OTX1,THRB
OTX1,ZBTB26
PHF20,ZNF184
PML,POLR2B
PML,SMAD5
PML,SUPT5H
POLR2B,SMAD5
POLR2B,SUPT5H
POLR2B,THRB
POLR2G,RBFOX2
POLR2G,RBM22
POLR2G,SUPT5H
POLR2G,ZBTB33
PTRF,PTTG1
PTRF,RELA
PTRF,ZNF311
PTRF,ZNF583
PTRF,ZNF740
PTTG1,ZNF215
PTTG1,ZNF281
PTTG1,ZNF311
PTTG1,ZNF740
RAD21,REST
RAD21,SMC3
RAD51,TFE3
RAD51,TOE1
RAD51,USF1
RAD51,USF2
RBFOX2,RBM22
RBFOX2,SMAD5
RBFOX2,SUPT5H
RBM22,SUPT5H
RBM25,RCOR1
RBM25,SMARCA5
RBM25,ZFP36
RBM25,ZMYM3
RBM25,ZNF121
RCOR1,SMARCA5
RCOR1,ZMYM3
RCOR1,ZNF143
RELA,ZNF740
REST,SMC3
RNF2,SMARCE1
SETDB1,TRIM28
SETDB1,ZNF274
SETDB1,ZNF280A
SETDB1,ZNF75A
SMAD3,STAT6
SMAD3,ZKSCAN8
SMAD5,SUPT5H
SMARCA4,SMARCE1
SMARCA5,ZMYM3
STAG1,ZC3H4
STAT6,ZKSCAN8
TCF12,TCF3
TCF12,TEAD4
TCF15,ZNF707
TCF3,TEAD4
TEAD4,ZNF143
TFE3,TOE1
TFE3,USF1
TFE3,USF2
THRB,ZBTB26
TOE1,USF1
TOE1,USF2
TRIM24,TRIM28
TRIM24,ZNF143
TRIM24,ZNF280A
TRIM28,ZEB2
TRIM28,ZNF143
TRIM28,ZNF280A
USF1,USF2
ZBTB11,ZNF639
ZBTB17,ZBTB9
ZBTB17,ZNF583
ZBTB40,ZNF175
ZBTB40,ZNF584
ZBTB9,ZNF583
ZEB2,ZNF280A
ZFP36,ZMYM3
ZFP36,ZNF143
ZFP91,ZNF24
ZMYM3,ZNF146
ZNF143,ZNF280A
ZNF148,ZNF281
ZNF175,ZNF215
ZNF175,ZNF281
ZNF175,ZNF395
ZNF175,ZNF584
ZNF175,ZNF589
ZNF175,ZNF766
ZNF215,ZNF281
ZNF215,ZNF311
ZNF215,ZNF583
ZNF215,ZNF584
ZNF215,ZNF592
ZNF215,ZNF740
ZNF274,ZNF75A
ZNF277,ZNF354C
ZNF277,ZNF707
ZNF281,ZNF589
ZNF281,ZNF592
ZNF311,ZNF583
ZNF311,ZNF740
ZNF395,ZNF584
ZNF395,ZNF589
ZNF395,ZNF639
ZNF395,ZNF766
ZNF583,ZNF740
ZNF584,ZNF589
ZNF589,ZNF766
ZNF639,ZNF766
