,TF1,TF2
1,ADNP,BCOR
2,ADNP,GTF2I
3,ADNP,HDAC2
4,ADNP,KDM1A
5,ADNP,RBM25
6,ADNP,RCOR1
7,ADNP,SMARCA5
8,ADNP,ZMYM3
9,AGO1,FIP1L1
10,AGO1,POLR2G
11,AGO1,RBFOX2
12,AGO1,RBM22
13,AGO1,SUPT5H
23,ARID4B,FOXA3
24,ARID4B,FOXP1
25,ARID4B,TEAD1
26,ARID4B,TEAD4
27,ARID4B,USF1
28,ARID4B,ZNF143
29,ARID4B,MTF1
30,ARID4B,NFIX
31,ARID4B,TCF15
32,ARID4B,ZNF277
33,ARID4B,ZNF707
35,ATF2,ATF3
36,ATF2,ATF7
39,ATF3,CEBPB
40,ATF3,CEBPG
41,ATF3,DPF2
43,ATF3,TRIM24
44,ATF4,ATF7
45,ATF4,CEBPB
46,ATF4,CEBPG
47,ATF4,ZBTB17
48,ATF4,ZNF584
53,BCOR,RBM25
54,BCOR,RCOR1
55,BCOR,SMARCA5
56,BCOR,ZFP36
58,BRCA1,STAG1
59,BRCA1,ZC3H4
60,BRD9,NFXL1
67,CBFA2T2,RAD51
70,CBFA2T2,USF2
73,CBX1,CBX3
74,CBX1,CBX5
75,CBX1,CHD4
76,CBX1,HDAC2
77,CBX1,RCOR1
78,CBX1,SETDB1
79,CBX1,TRIM24
80,CBX1,TRIM28
81,CBX1,ZNF143
82,CBX1,ZNF280A
83,CBX3,CBX5
84,CBX3,SETDB1
85,CBX3,TRIM24
86,CBX3,TRIM28
87,CBX3,ZNF143
88,CBX3,ZNF280A
89,CBX5,SETDB1
90,CBX5,TRIM24
91,CBX5,TRIM28
92,CBX5,ZEB2
93,CBX5,ZNF143
94,CBX5,ZNF280A
95,CC2D1A,CHAMP1
96,CDC5L,ZNF639
98,CEBPG,IRF9
99,CEBPG,TRIM24
100,CHAMP1,ZBTB33
101,CHD4,RCOR1
102,CREB3,DDX20
103,CREB3,ID3
104,CREB3,IRF1
105,CREB3,MEF2D
106,CREB3,NR4A1
107,CREB3,PTRF
108,CREB3,PTTG1
109,CREB3,RELA
110,CREB3,ZNF311
111,CREB3,ZNF583
112,CREB3,ZNF639
113,CREB3,ZNF740
115,CTBP1,ZEB2
120,CXXC5,DMBX1
121,CXXC5,NR2C1
122,CXXC5,NR4A1
123,CXXC5,ZNF175
124,CXXC5,ZNF215
126,CXXC5,ZNF589
128,DDX20,GTF2A2
129,DDX20,MEF2D
130,DDX20,PTRF
132,DDX20,ZNF311
133,DDX20,ZNF740
134,DMBX1,NR2C1
135,DMBX1,NR4A1
136,DMBX1,PTTG1
137,DMBX1,ZNF175
138,DMBX1,ZNF215
139,DMBX1,ZNF281
140,DMBX1,ZNF311
141,DMBX1,ZNF395
142,DMBX1,ZNF584
143,DMBX1,ZNF589
144,DMBX1,ZNF592
145,DMBX1,ZNF740
151,DPF2,ZKSCAN1
152,E2F1,HMGXB4
153,E2F1,MLX
154,E2F1,STAT6
158,E2F8,POLR2B
159,E2F8,SUPT5H
160,EHMT2,HDAC1
161,EHMT2,HLTF
162,EHMT2,MTA2
164,ELF4,HBP1
165,ELF4,MTA2
166,ELF4,OTX1
167,ELF4,THRB
168,ELF4,ZBTB26
169,FIP1L1,HNRNPL
170,FIP1L1,PCBP1
171,FIP1L1,PRPF4
172,FIP1L1,RBM22
173,FOXA3,FOXP1
174,FOXA3,TEAD1
175,FOXA3,TEAD4
176,FOXA3,ZNF143
177,FOXP1,TEAD1
178,FOXP1,ZNF143
180,GMEB1,MTA2
181,GMEB1,ZBTB2
182,GTF2A2,MECOM
183,GTF2A2,PTRF
184,GTF2A2,PTTG1
185,GTF2A2,ZNF215
186,GTF2A2,ZNF311
187,GTF2A2,ZNF583
188,GTF2A2,ZNF740
189,GTF2I,HDAC2
190,GTF2I,KDM1A
192,GTF2I,RCOR1
193,GTF2I,SMARCA5
194,GTF2I,ZFP36
198,HBP1,ZBTB26
204,HDAC2,SMARCA5
205,HDAC2,RBM25
206,HDAC2,ZMYM3
207,HDAC8,ZNF583
208,HDGF,HLTF
209,HDGF,LARP7
210,HINFP,PTRF
211,HLTF,LARP7
212,HLTF,MTA2
213,HLTF,ZNF184
214,HMGXB4,MLX
215,HMGXB4,SMAD3
216,HMGXB4,STAT6
217,HNRNPK,PCBP1
218,HNRNPL,PRPF4
219,ID3,IRF1
220,ID3,MEF2D
221,ID3,NR2C1
222,ID3,NR4A1
223,ID3,PTRF
224,ID3,PTTG1
225,ID3,RELA
226,ID3,ZNF215
227,ID3,ZNF311
228,ID3,ZNF583
229,ID3,ZNF740
230,IRF1,PTRF
231,IRF1,PTTG1
232,IRF1,ZNF311
233,IRF1,ZNF740
234,JUNB,JUND
236,KDM1A,RBM25
238,KDM1A,SMARCA5
239,KDM1A,ZFP36
240,KDM1A,ZMYM3
244,LARP7,MTA2
245,LARP7,NKRF
246,LARP7,ZNF184
249,MAFF,NFE2
257,MAX,USF1
258,MAZ,SMC3
259,MECOM,MEF2D
260,MECOM,PTRF
261,MECOM,PTTG1
262,MECOM,ZNF311
263,MECOM,ZNF740
264,MEF2D,NR2C1
265,MEF2D,NR4A1
266,MEF2D,PTRF
267,MEF2D,PTTG1
268,MEF2D,ZNF215
269,MEF2D,ZNF311
270,MEF2D,ZNF639
271,MEF2D,ZNF740
276,MITF,TOE1
279,MLLT1,THRAP3
280,MLX,SMAD3
281,MLX,STAT6
282,MLX,ZKSCAN8
283,MTA2,ZBTB2
284,MTF1,NFIX
285,MTF1,TCF15
286,MTF1,ZNF277
287,MTF1,ZNF354C
288,MTF1,ZNF707
289,MYNN,POLR2B
290,MYNN,SUPT5H
291,NFATC3,NFYA
292,NFATC3,NFYB
293,NFE2,NFE2L1
294,NFE2,ZNF316
295,NFIC,NFIX
296,NFIX,ZNF277
297,NFIX,ZNF354C
298,NFIX,ZNF707
303,NR2C1,NR4A1
304,NR2C1,PTTG1
305,NR2C1,ZNF175
306,NR2C1,ZNF215
307,NR2C1,ZNF281
308,NR2C1,ZNF395
309,NR2C1,ZNF589
310,NR2C1,ZNF592
311,NR2C1,NR2F2
313,NR2C2,NR2F6
317,NR4A1,PTRF
318,NR4A1,PTTG1
319,NR4A1,ZNF215
320,NR4A1,ZNF281
321,NR4A1,ZNF311
322,NR4A1,ZNF592
323,NR4A1,ZNF639
324,NR4A1,ZNF740
326,OTX1,ZBTB26
327,PHF20,ZNF184
328,PML,POLR2B
329,PML,SMAD5
330,PML,SUPT5H
333,POLR2B,THRB
335,POLR2G,RBM22
337,POLR2G,ZBTB33
339,PTRF,RELA
340,PTRF,ZNF311
341,PTRF,ZNF583
342,PTRF,ZNF740
343,PTTG1,ZNF215
344,PTTG1,ZNF281
345,PTTG1,ZNF311
349,RAD51,TFE3
350,RAD51,TOE1
353,RBFOX2,RBM22
356,RBM22,SUPT5H
357,RBM25,RCOR1
358,RBM25,SMARCA5
359,RBM25,ZFP36
361,RBM25,ZNF121
362,RCOR1,SMARCA5
363,RCOR1,ZMYM3
364,RCOR1,ZNF143
365,RELA,ZNF740
368,SETDB1,TRIM28
369,SETDB1,ZNF274
370,SETDB1,ZNF280A
371,SETDB1,ZNF75A
372,SMAD3,STAT6
373,SMAD3,ZKSCAN8
376,SMARCA5,ZMYM3
377,STAG1,ZC3H4
378,STAT6,ZKSCAN8
381,TCF15,ZNF707
383,TEAD4,ZNF143
384,TFE3,TOE1
385,TFE3,USF1
386,TFE3,USF2
388,TOE1,USF1
389,TOE1,USF2
390,TRIM24,TRIM28
391,TRIM24,ZNF143
392,TRIM24,ZNF280A
393,TRIM28,ZEB2
394,TRIM28,ZNF143
395,TRIM28,ZNF280A
398,ZBTB17,ZBTB9
399,ZBTB17,ZNF583
400,ZBTB40,ZNF175
401,ZBTB40,ZNF584
402,ZBTB9,ZNF583
403,ZEB2,ZNF280A
404,ZFP36,ZMYM3
405,ZFP36,ZNF143
406,ZFP91,ZNF24
407,ZMYM3,ZNF146
408,ZNF143,ZNF280A
410,ZNF175,ZNF215
411,ZNF175,ZNF281
412,ZNF175,ZNF395
413,ZNF175,ZNF584
415,ZNF175,ZNF766
416,ZNF215,ZNF281
418,ZNF215,ZNF583
419,ZNF215,ZNF584
420,ZNF215,ZNF592
421,ZNF215,ZNF740
422,ZNF274,ZNF75A
423,ZNF277,ZNF354C
424,ZNF277,ZNF707
425,ZNF281,ZNF589
427,ZNF311,ZNF583
428,ZNF311,ZNF740
429,ZNF395,ZNF584
430,ZNF395,ZNF589
433,ZNF583,ZNF740
434,ZNF584,ZNF589
435,ZNF589,ZNF766
436,ZNF639,ZNF766
